,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext
432.0,John Ward,In Nomine III,55,1.0,C1t1,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P4,P4,0.9818181818181818,20.0,16.0
45.0,John Baldwin,In Nomine I,8,2.5,BC2,^BC(2|4)x?z?$,Authentic,C,CB,0.0,4.0,C3,-M2,m7,0.2102803738317757,45.0,62.5
107.5,John Baldwin,In Nomine I,18,3.75,BC2,^BC(2|4)x?z?$,Authentic,C,CB,0.0,4.0,C3,-M2,m7,0.5023364485981309,62.5,108.5
64.0,Anonymous,In Nomine,9,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,D,CT,1.0,3.0,D3,P5,P5,0.13675213675213677,64.0,16.0
80.0,Anonymous,In Nomine,11,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,C3,P4,,0.17094017094017094,16.0,24.0
104.0,Anonymous,In Nomine,14,1.0,T-2c5,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,cT,-1.0,3.0,G3,P8,,0.2222222222222222,24.0,16.0
120.0,Anonymous,In Nomine,16,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,G2,P1,,0.2564102564102564,16.0,28.0
148.0,Anonymous,In Nomine,19,3.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,G2,P1,,0.3162393162393162,28.0,12.0
160.0,Anonymous,In Nomine,21,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,A,CT,1.0,3.0,A3,M9,M2,0.3418803418803419,12.0,16.0
176.0,Anonymous,In Nomine,23,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,C3,P4,,0.37606837606837606,16.0,8.0
184.0,Anonymous,In Nomine,24,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,G,CT,0.0,3.0,G2,P1,P8,0.39316239316239315,8.0,8.0
192.0,Anonymous,In Nomine,25,1.0,BC1,^BC(1|3)x?z?$,Authentic,B-,tCB,1.0,3.0,B-2,m3,m3,0.41025641025641024,8.0,152.0
344.0,Anonymous,In Nomine,44,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,G,CT,0.0,4.0,G2,P1,P8,0.7350427350427351,152.0,128.0
88.0,Robert Johnson,In Nomine,12,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,G,CT,0.0,4.0,G2,P1,P8,0.19298245614035087,88.0,56.0
144.0,Robert Johnson,In Nomine,19,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B-,CT,1.0,4.0,B-2,m3,m3,0.3157894736842105,56.0,120.0
264.0,Robert Johnson,In Nomine,34,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B-,CT,1.0,3.0,B-2,m3,m3,0.5789473684210527,120.0,56.0
320.0,Robert Johnson,In Nomine,41,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,3.0,G2,P1,P8,0.7017543859649122,56.0,16.0
336.0,Robert Johnson,In Nomine,43,1.0,T-2c5,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,cT,-1.0,3.0,G3,P8,,0.7368421052631579,16.0,19.0
355.0,Robert Johnson,In Nomine,45,2.5,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,B-,Ct,1.0,3.0,D3,P5,m3,0.7785087719298246,19.0,61.0
416.0,Robert Johnson,In Nomine,53,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,4.0,F3,m7,m7,0.9122807017543859,61.0,48.0
24.0,Poynt,In Nomine I,4,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,A,CT,1.0,4.0,A2,-P4,P5,0.05263157894736842,24.0,16.0
40.0,Poynt,In Nomine I,6,1.0,C2PT-1,^C(2|4)PT-1z?$,Phrygian,A,CTP,1.0,4.0,D3,P1,P5,0.08771929824561403,16.0,48.0
88.0,Poynt,In Nomine I,12,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,C,CT,0.0,4.0,E3,M2,m7,0.19298245614035087,48.0,24.0
112.0,Poynt,In Nomine I,15,1.0,BC2,^BC(2|4)x?z?$,Authentic,D,CTB,0.0,4.0,D3,P1,P8,0.24561403508771928,24.0,72.0
184.0,Poynt,In Nomine I,24,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,4.0,F2,-M6,m3,0.40350877192982454,72.0,16.0
200.0,Poynt,In Nomine I,26,1.0,BC2,^BC(2|4)x?z?$,Authentic,D,CTB,0.0,4.0,D3,P1,P8,0.43859649122807015,16.0,24.0
